datetime_mt,rows_added,total_rows
10-16-23 19:45:03,54,54
10-16-23 20:00:03,54,108
10-16-23 20:16:20,54,162
10-16-23 20:38:01,54,216
10-16-23 20:49:14,54,270
10-16-23 21:03:41,54,324
10-16-23 21:19:04,54,378
10-16-23 22:01:03,54,432
10-16-23 22:18:27,54,486
10-16-23 22:33:03,54,540
10-16-23 23:05:04,54,594
10-16-23 23:18:13,54,648
10-16-23 23:41:46,54,702
10-17-23 00:56:28,54,756
10-17-23 01:00:52,54,810
10-17-23 01:03:59,54,864
10-17-23 01:07:00,54,918
10-17-23 01:10:02,54,972
10-17-23 01:13:03,54,1026
10-17-23 01:16:04,54,1080
10-17-23 01:19:05,54,1134
10-17-23 01:22:07,54,1188
10-17-23 01:25:08,54,1242
10-17-23 01:28:11,54,1296
10-17-23 01:31:13,54,1350
10-17-23 01:34:19,54,1404
10-17-23 01:37:21,54,1458
10-17-23 01:40:22,54,1512
10-17-23 01:43:22,54,1566
10-17-23 01:46:22,54,1620
10-17-23 01:49:23,54,1674
10-17-23 01:52:25,54,1728
10-17-23 01:55:27,54,1782
10-17-23 01:58:27,54,1836
10-17-23 02:01:30,54,1890
10-17-23 02:04:30,54,1944
10-17-23 02:07:32,54,1998
10-17-23 02:10:33,54,2052
10-17-23 02:13:35,54,2106
10-17-23 02:16:35,54,2160
10-17-23 02:19:38,54,2214
10-17-23 02:22:38,54,2268
10-17-23 02:25:40,54,2322
10-17-23 02:28:40,54,2376
10-17-23 02:31:42,54,2430
10-17-23 02:34:43,54,2484
10-17-23 02:37:45,54,2538
10-17-23 02:40:46,54,2592
10-17-23 02:43:48,54,2646
10-17-23 02:46:49,54,2700
10-17-23 02:49:51,54,2754
10-17-23 02:52:51,54,2808
10-17-23 02:55:54,54,2862
10-17-23 02:58:54,54,2916
10-17-23 03:01:57,54,2970
10-17-23 03:04:58,54,3024
10-17-23 03:08:00,54,3078
10-17-23 03:11:01,54,3132
10-17-23 03:14:03,54,3186
10-17-23 03:17:05,54,3240
10-17-23 03:20:07,54,3294
10-17-23 03:23:08,54,3348
10-17-23 03:26:10,54,3402
10-17-23 03:29:11,54,3456
10-17-23 03:32:13,54,3510
10-17-23 03:35:14,54,3564
